id,reparto,Director
12795,"['Michael Carbonaro', 'Jonah Blechman', 'Jonathan Chase', 'Mitch Morris', 'Ashlie Atkinson', 'Scott Thompson', 'Graham Norton', 'Angela Oh', 'Darryl Stephens', 'George Marcy', 'Matthew Rush', 'Stephanie McVay', 'John Epperson', 'James Getzlaff', 'Andersen Gabrych', 'Richard Hatch']",Todd Stephens
151489,"['Huw Garmon', 'Catrin Fychan', 'Ceri Cunnington', 'Llio Silyn', 'Grey Evans', 'Gwen Ellis']",Paul Turner
19968,"['Andy Griffith', 'Nick Adams', 'Myron McCormick', 'Murray Hamilton', 'Howard Smith', 'Will Hutchins', 'Sydney Smith', 'James Millhollin', 'Don Knotts', 'Jean Willes', 'Bartlett Robinson', 'Henry McCann', 'Dub Taylor', 'William Fawcett', 'Raymond Bailey']",Mervyn LeRoy
47914,"['Charles Bronson', 'Jack Warden', 'Will Sampson', 'Kim Novak', 'Clint Walker', 'Stuart Whitman', 'Slim Pickens', 'John Carradine', 'Cara Williams', 'Shay Duffin', 'Clifford A. Pellow', 'Douglas Fowley', 'Ed Lauter', 'Martin Kove', 'Richard Gilliland', 'Eve Brent', 'Dan Vadis']",J. Lee Thompson
109439,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Justin Bartha', 'Ken Jeong', 'John Goodman', 'Melissa McCarthy', 'Jeffrey Tambor', 'Heather Graham', 'Mike Epps', 'Sasha Barrese', 'Jamie Chung', 'Sondra Currie', 'Gillian Vigman', 'Oliver Cooper', 'Mike Vallely', 'Grant Holmquist', 'Oscar Torre', 'Billy Choi', 'Jonny Coyne', 'Silvia Curiel', 'Jim Lau', 'Lela Loren', 'Harrison Forsyth', 'Roger Schueller', 'Jenny Ladner', 'Scott Anthony Leet', 'Tim Sitarz', 'Danny Le Boyer', 'Damion Poitier', 'Tiffany Tynes', 'Betty Murphy']",Todd Phillips
670,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jung', 'Kim Byeong-ok', 'Oh Dal-su', 'Ji Dae-Han', 'Oh Tae-kyung', 'Yoon Jin-Seo', 'Lee Seung-Shin', 'Lee Dae-yeon', 'Ahn Yeon-suk', 'Oh Gwang-rok', 'Yoo Yeon-seok']",Park Chan-wook
21325,"['Sachiko Kokubu', 'Mansai Nomura', 'Hideaki Ito', 'Eriko Imai']",Yojiro Takita
27646,"['Edward Furlong', 'Shannon Elizabeth', 'Monica Keena', 'Diora Baird', 'Michael Copon', 'John F. Beach', 'Bobbi Sue Luther', 'Tiffany Shepis', 'Linnea Quigley', 'Tatyana Kanavka', 'Michael Arata', 'Jamie Harris']",Adam Gierasch
9534,"['Guillermo Toledo', 'Mónica Cervera', 'Luis Varela', 'Enrique Villén', 'Fernando Tejero', 'Javier Gutiérrez', 'Kira Miró', 'Rosario Pardo', 'Gracia Olayo', 'José Alias', 'Penélope Velasco', 'Montse Mostaza', 'Eduardo Gómez', 'Enrique Martínez', 'Alicia Andújar']",Álex de la Iglesia
57664,"['Don Murray', 'Diane Varsi', 'Chill Wills', 'Dennis Hopper', 'R.G. Armstrong', 'Jay C. Flippen', 'Margo', 'John Larch', 'Ken Scott', 'Rodolfo Acosta', 'Salvador Baguez', 'Harry Carey, Jr.', 'Jerry Oddo', 'José Torvay', 'Malcolm Atterbury']",Henry Hathaway
301016,"['Martinsh Kalita', 'Viktoriya Solovyova', 'Anastasiya Imamova', 'Sergey Serov', 'Kseniya Popovich', 'Andrey Popovich', 'Aleksandr Ustyugov', 'Aleksandr Oblasov', 'Aleksandr Borisov', 'Maksim Bityukov', 'Ilya Kiporenko', 'Sergey Bachurskiy', 'Vitaly Kishchenko', 'Miriam Sekhon', 'Denis Vasilev']",Nikita Mikhalkov
30630,"['Greta Garbo', 'Charles Boyer', 'Reginald Owen', 'Alan Marshal', 'Henry Stephenson', 'Leif Erickson', 'Dame May Whitty', 'Maria Ouspenskaya', 'C. Henry Gordon', 'Claude Gillingwater', 'Vladimir Sokoloff', 'George Houston', 'George Davis']",Clarence Brown
13191,"['John Cusack', 'Hilary Duff', 'Marisa Tomei', 'Joan Cusack', 'Dan Aykroyd', 'Sergej Trifunović', 'Ned Bellamy', 'John McLaughlin', 'Montel Williams', 'Ben Kingsley', 'Lyubomir Neikov', 'Nikolay Stanoev', 'Bashar Rahal', 'Velislav Pavlov', 'Zahary Baharov', 'Andrey Slabakov', 'Velizar Binev', 'Itai Diakov', 'Stanimir Stamatov', 'Georgi Gatzov', 'Krassimir Simeonov', 'Velizar Peev', 'George Zlatarev']",Joshua Seftel
31742,"['Loredana Detto', 'Sandro Panseri', 'Tullio Kezich', 'Mara Revel', 'Guido Spadea']",Ermanno Olmi
150010,"['Leonid Kharitonov', 'Sergei Blinnikov', 'Yevgeni Shutov', 'Tatyana Pelttser', 'Mikhail Pugovkin']",Ivan Lukinsky
219956,"['Mickey Rourke', 'Ron Howard']",Jud Taylor
388764,"['Lee Min-ho', 'Wallace Chung', 'Tiffany Tang', 'Karena Ng', 'Fan Siu-Wong', 'Jeremy Tsui']",Shin Tae-Ra
34187,"['Barbara Stanwyck', 'Nils Asther', 'Toshia Mori', 'Walter Connolly', 'Gavin Gordon', 'Lucien Littlefield', 'Richard Loo', 'Helen Jerome Eddy', 'Emmett Corrigan', 'Clara Blandick']",Frank Capra
279606,"['William McNamara', 'Elisabeth Shue', 'Dylan Walsh', 'Peewee Love', 'Steve Zurk']",Jeffrey Bell
24444,"['Shintarô Katsu', 'Watako Hamaki', 'Michie Terada', 'Kôji Nanbara', 'Jimmy Wang Yu', 'Goro Kumon']",Kimiyoshi Yasuda
180555,[],Guy Debord
74513,"['Diane Kruger', 'Djimon Hounsou', 'Benoît Magimel', 'Denis Ménochet', 'Raphaël Personnaz', 'Alain ALIVON', 'Tchéky Karyo', 'Morjana Alaoui', 'Alain Figlarz', 'Mehdi Nebbou', 'Raz Degan', 'Didier Flamand', 'Jacques Gallois', 'Bernard Allouf', 'Marine Faure']",Stéphane Rybojad
24709,"['Nicholas Shields', 'Evan Adams', 'Lee J. Campbell', 'Graham Greene', 'Marianne Jones', 'Victor Cowie', 'Paul Grau', 'Harry Nelken']",Michael J.F. Scott
365267,"['Agnieszka Grochowska', 'Bartłomiej Topa', 'Barbara Kubiak', 'Ewa Fröling', 'Tanja Lorentzon', 'Gerhard Hoberstorfer', 'Jan Englert', 'Björn Kjellman']",Dariusz Gajewski
48458,"['Hans-Jürgen Lange', 'Otto Rahn']",Richard Stanley
109881,"['Jennifer Jones', 'Joseph Cotten', 'Ann Richards', 'Cecil Kellaway', 'Gladys Cooper', 'Anita Louise', 'Robert Sully', 'Reginald Denny', 'Ernest Cossart', 'Byron Barr']",William Dieterle
10086,"['Benoît Poelvoorde', 'Rémy Belvaux', 'André Bonzel', 'Jacqueline Poelvoorde-Pappaert', 'Édith Le Merdy', 'Jenny Drye', 'Malou Madou', 'Willy Vandenbroeck', 'Nelly Pappaert', 'Hector Pappaert', 'Rachel Deman', 'André Laime', 'Sylviane Godé', 'Zoltan Tobolik', 'Valérie Parent', 'Alexandra Fandango', 'Olivier Cotica', 'Benoît Mariage']",Benoît Poelvoorde
133557,"['Toby Jones', 'Sienna Miller', 'Imelda Staunton', 'Penelope Wilton', 'Sean Cameron Michael', ""Candice D'Arcy"", 'Carl Beukes']",Julian Jarrold
17628,"['Caveh Zahedi', 'Rebecca Lord', 'Emily Morse', 'Amanda Henderson', 'Valentine Fillol-Cordier', 'Alexandra Guerineaud']",Caveh Zahedi
23476,"['Scott Plank', 'Anna Gunn', 'Angelina Jolie', 'Andrew Prine', 'Paul Perri', 'Kristen Peckinpah', 'Allen Nause', 'Chris Mastrandrea', 'Danny Bruno', 'Ernie Garrett', 'Eric Hull', 'Ed Collier', 'Geof Prysirr', 'Michael Russo', 'Jason Tomlins', 'W. Earl Brown', 'Ellen Wheeler', 'Wally Dalton', ""O.C. 'Mac' McCallum"", 'Don Scorby', 'Charles Taylor Gould', 'Will Plunkett', 'Michael Fisher-Welsh', 'Russ Fast', 'Paul Travis Nixon', 'Catherine Jelski', 'Ted Roisum', 'Sam A. Mowry', 'Tobias Anderson', 'Kathryn Randall', 'Lee Gosson', 'Joseph Burke', 'Joe Ivy', 'Gretchen Corbett', 'Mary Marsh', 'Vernon Barkhurst', 'Luna Shepard', 'Josh Nielson', 'Tom Tarpey', 'John Paul Shepard', 'Michael Fetters', 'Marie Selland', 'Quigley Provost-Landrum', 'Kevin Francke', 'Kathleen Randall', 'Patrick DeSantis', 'Jennie Stringfellow', 'Chard Reed', 'Ronald Knight', 'Neil Page Sexton', 'Julie Phelan', 'Sam Bauso', 'Kelly Holland', 'Chris Nelson Norris']",Gill Dennis
21779,"['Dean Martin', 'Stella Stevens', 'Daliah Lavi', 'Victor Buono', ""Arthur O'Connell"", 'Robert Webber', 'James Gregory', 'Nancy Kovack', 'Cyd Charisse', 'David Bond', 'John Reach', 'Beverly Adams', 'Roger C. Carmel', 'Richard Devon', 'Margie Nelson', 'Margaret Teele', 'Larri Thomas', 'Leoda Richards']",Phil Karlson
38940,"['Dolph Lundgren', 'Charlotte Lewis', 'BD Wong', 'Tim Guinee', 'Catherine Bell']",Perry Lang
66447,"['Philippe Noiret', 'Richard Bohringer', 'Thierry Lhermitte', 'Carole Bouquet', 'Jean Rochefort', 'Miou-Miou', 'Judith Godrèche', 'Michèle Laroque', 'Maxime Leroux', 'Jean Benguigui', 'Ticky Holgado']",Patrice Leconte
